Word, DocumentID-Frequency of the word
imbordered, 15-1
imbosomd, 13-1
imbosomed, 14-1
imbowered, 15-1
imbrowned, 14-1
imbrute, 15-1
imbued, 15-1
imitate, 13-1 14-1
imitated, 4-1 13-1
imitation, 14-2
immature, 10-2 15-1
immaturity, 12-1
immeasurable, 13-1 15-1
immeasurably, 13-1
immediate, 1-1 13-1 14-1 15-2 16-2
immediately, 2-1 4-2 9-1 11-1 15-1 16-2
immense, 2-1 12-2 13-2 14-3 15-2 16-2
imminent, 14-1 15-1 16-1
immortal, 13-10 15-3 16-3
immortality, 14-2 16-1
immovable, 13-1
immoveable, 16-2
immures, 13-1
immutable, 13-1 14-1 15-1
immutably, 13-1 15-1
imp, 15-1
impact, 9-3 10-1 11-1 12-3
impair, 15-1 16-1
impaired, 10-1 14-4 15-1
impaled, 13-1 14-1
imparadised, 14-1
impart, 14-1 15-2
imparted, 15-1
imparts, 14-1
impassable, 16-1
impassioned, 15-1
impassive, 14-1
impatience, 8-1 16-1
impatient, 4-1
impatiently, 1-1 2-1 3-1 4-2
impearls, 14-1
impediment, 9-1 12-1 14-1
impeding, 9-1
impendent, 13-1 14-1
impenetrable, 13-1 15-1
impenetrably, 14-1
impenitence, 16-1
imperfect, 9-1 10-1 11-1 12-2 15-2 16-1
imperfection, 15-1
imperfections, 12-1
imperial, 13-3 14-2 15-1
imperious, 14-1
imperishable, 14-1
impertinence, 15-1
impertinent, 3-1
impervious, 16-1
impetuous, 13-2 14-2 16-1
impious, 13-3 14-3 15-1
impiously, 15-1
implacable, 14-1
implanted, 16-1
implement, 9-2 12-1
implementation, 9-3 10-5 11-1 12-3
implementations, 12-1
implements, 14-1
implication, 9-1
implications, 9-1 10-6 11-6 12-3
implicit, 9-1 11-2 15-1
implied, 14-1
implies, 11-1 12-2 14-1 16-1
implored, 15-1
implores, 15-1
imply, 12-1
import, 15-1
importance, 9-3 10-4 11-2 12-1
important, 1-1 2-1 4-5 9-5 10-11 11-22 12-5 16-1
imported, 9-1 12-1
imports, 15-1
importune, 15-1 16-1
importunes, 5-1
impose, 9-1 11-1 13-1 15-1 16-1
imposed, 9-1 13-1 14-2 15-2 16-2
imposition, 16-1
impossibility, 10-1
impossible, 1-1 2-2 8-1 10-3 13-1 14-2 15-1 16-1
impossibly, 15-1
impostor, 13-1
impotence, 13-1
impowered, 16-1
impractical, 10-3 12-2
impregnable, 13-1
impregned, 15-1
impregns, 14-1
impress, 14-1
impressed, 13-1 14-1 15-1 16-1
impresses, 15-1
impression, 9-1 10-1 11-1
impressions, 9-1
impressure, 7-1
improvd, 15-1
improve, 1-1 10-2 11-1 12-2
improved, 10-1 12-1 14-1
improvement, 12-1
improvements, 10-1 11-1 12-1
improves, 10-1
improving, 11-1 12-2
improvision, 11-1
imprudence, 16-1
impulse, 13-1 15-1 16-1
impure, 11-1 13-1 14-1 15-1 16-1
impurpled, 13-1
impute, 16-1
imputed, 13-1 16-2
imputest, 15-1
in, 1-107 2-90 3-89 4-83 5-72 6-85 7-93 8-68 9-406 10-348 11-357 12-220 13-357 14-354 15-338 16-328
inability, 10-2 11-2
inabstinence, 16-1
inaccessible, 6-1 13-2 15-1
inaccurate, 9-1
inbred, 13-1
inc, 9-1 10-1 11-4 12-8
incapable, 11-1 13-1 14-2
incarnate, 13-1 15-1
incarnation, 12-1
incense, 13-1 15-3 16-5
incensed, 13-2 14-3 15-2
incentive, 14-1
incentives, 11-2
inception, 10-1
incessant, 13-1 14-1 16-1
incessantly, 2-1
incestuous, 16-1
inch, 6-1 10-5 11-1 12-2
inches, 1-3 2-3
incision, 6-1
incited, 15-1
inclement, 13-1 16-1
inclinable, 15-1
inclination, 11-1 13-1 16-1
incline, 13-1 16-2
inclined, 1-1 7-1 13-1 16-2
inclines, 13-1 14-1
inclining, 16-1
include, 9-4 10-8 11-8 12-10
included, 9-4 10-12 11-5 12-3 15-1
includes, 9-7 10-3 11-3 12-4
including, 9-8 10-12 11-8 12-7 13-1
incoming, 9-1
incomposed, 13-1
incomprehensible, 15-1
incongruities, 9-1
inconsistencies, 11-1
inconstant, 7-1
incontinent, 8-2
inconvenient, 8-1 9-1 14-1
incorporate, 9-1 10-1 11-2 12-2 16-1
incorporated, 11-1
incorporates, 12-1
incorporating, 9-1
incorporeal, 13-1 14-1 15-1
incorrupt, 16-1
incorruptible, 13-1 15-2
increase, 9-2 10-3 11-3 12-1
increased, 16-1
increases, 10-1
increasing, 9-2 10-2 12-1
increasingly, 9-4 10-3 11-3 12-1
increate, 13-1
incredible, 14-1
incredibly, 12-1
incremental, 10-1 11-1
incumbent, 12-1 13-1
incumbered, 15-2
incur, 15-2
incurred, 16-1
incurrest, 14-1
ind, 6-1 13-1
indebted, 13-1 14-1
indecent, 14-1
indeed, 1-8 2-2 3-3 4-3 5-6 6-1 7-3 9-8 10-1 13-3 14-3 15-4 16-2
indefatigable, 13-1
indented, 8-1 15-1
independent, 9-3 10-1 12-3
index, 9-1 11-1 12-5
indexed, 9-2 12-1
indexing, 9-4 10-5 11-3 12-7
india, 14-1
indian, 13-2 15-1
indians, 15-1
indicate, 10-1
indicated, 9-1
indicates, 9-1 10-1 11-1
indication, 10-1
indicator, 12-1
indices, 9-7 10-1
indignant, 4-1 16-1
indignantly, 2-2 3-2
indignation, 13-1 15-2 16-1
indignity, 15-1
indirect, 5-1 10-1 16-1
indirectly, 12-1
indissolubly, 14-1
indite, 15-1
individual, 9-3 10-4 11-2 12-1 14-2
individualized, 9-1
individuals, 9-2 10-2 11-2 12-1
induce, 13-1
induced, 15-1
inducement, 15-1
inducing, 14-1
inductive, 16-1
indulgence, 16-1
indulgences, 13-1
indulgent, 14-1 15-1
indus, 15-1
industrial, 10-1
industrialization, 9-1
industries, 11-2 12-1
industrious, 13-2 15-1
industry, 9-3 10-2 11-3 12-2
ineffable, 13-1 14-1
ineffably, 14-1
ineffectual, 15-1
inefficient, 10-1
inelegant, 14-1
ineloquent, 15-1
inevitable, 13-2
inevitably, 11-1 15-1
inexorably, 13-1
inexpensive, 12-1
inexpensively, 10-1
inexperience, 14-1
inexpert, 16-1
inexplicable, 16-1
inexpressible, 14-1 15-1
inextinguishable, 14-1
inextricable, 14-1
inextricably, 10-1
infallible, 16-1
infamed, 15-1
infamy, 14-1
infancy, 10-1
infant, 6-1 13-1 16-1
infantry, 13-1
infect, 6-1 16-1
infected, 6-1 13-1
infection, 13-1
infer, 11-1 15-1
inferior, 13-1
inferiour, 13-1 14-2 15-4 16-1
infernal, 13-11 14-4 15-2 16-3
infers, 15-3
infidel, 13-1
infinite, 13-6 14-8 15-4 16-6
infinitely, 14-1 15-1
infinitude, 13-1 15-1
infirm, 14-1
infirmer, 16-1
infixed, 13-1 15-1
inflame, 13-1 15-1
inflamed, 13-3 14-2
inflames, 14-1
inflaming, 15-1
inflected, 9-1
inflict, 13-1 16-1
inflicted, 13-1 16-1
influence, 13-2 14-2 15-4 16-1
influenced, 10-2
influencing, 10-1 11-2
inform, 15-1
informal, 9-1 12-1
information, 9-39 10-62 11-41 12-52 13-1
informative, 10-1
informed, 9-1 12-2 13-1 15-2
informidable, 15-1
informing, 16-1
infotrac, 12-1
infrastructure, 10-3 12-5
infringement, 11-1
infuriate, 14-1
infused, 9-2 14-1 15-3
ingendered, 16-1
ingendering, 14-1
ingenuity, 9-1
inglorious, 13-2 15-1 16-1
ingorged, 15-1
ingraft, 16-1
ingrate, 13-1 14-1
ingrateful, 14-1 15-1
ingratitude, 6-1
ingredients, 16-1
ingulfed, 14-2
inhabit, 13-1 15-1
inhabitant, 13-1 14-1
inhabitants, 14-1 15-1
inhabited, 7-1 16-1
inherent, 10-2 11-1
inheritance, 13-1
inherited, 5-1
inhibit, 9-1 11-1
inhibits, 9-1
inhospitable, 16-1
inhospitably, 16-1
inhouse, 10-1 11-2 12-1
inhuman, 16-1
inhumanly, 16-1
inimitable, 13-1
iniquities, 16-1
initial, 10-3 11-1 12-1
initially, 11-2 12-1
initiate, 9-2 11-1 12-1
initiated, 9-2 10-1
initiates, 9-1
initiative, 9-2 11-1 12-4
initiatives, 9-2 12-1
injunction, 16-1
injure, 2-1 7-1 16-1
injured, 13-1 14-1
injuries, 16-1
injury, 5-1 13-1 14-1
ink, 4-1
inkstand, 4-1
inky, 7-1
inlaid, 15-1
inland, 6-1 7-1 16-1
inlay, 14-1
inly, 16-1
inmate, 15-1 16-2
inmost, 13-1 14-2 15-1 16-1
innocence, 14-5 15-6 16-1
innocent, 5-2 14-2
innovations, 12-3
innovative, 9-1 12-1
innumerable, 13-5 14-5 15-5 16-3
innumerous, 15-1
inoffensive, 14-1 15-1 16-1
inordinate, 14-1 16-1
input, 10-5 12-1
inquire, 8-1 13-1 15-1 16-1
inquired, 3-1 7-1 12-2
inquiry, 9-1
inquisition, 6-1
inquisitively, 1-1
inroad, 13-1 14-1
inroads, 13-1
inrolled, 16-1
insatiate, 13-1 15-1
insect, 14-1 15-1 16-1
insensate, 15-1
insensible, 15-1 16-1
insensibly, 14-1 15-1
inseparable, 5-1 16-1
inseparably, 14-1
insertion, 10-1 11-1
inside, 2-2 11-4
insight, 9-1
insinuate, 8-1
insinuating, 14-1
insisted, 10-1
insists, 11-1
insofar, 9-1 11-2
insolence, 1-1 13-1
insomuch, 8-1
inspecting, 9-1
inspection, 10-1 15-1
inspiration, 9-1
inspire, 13-1
inspired, 14-4 15-2 16-2
inspires, 14-1 15-1
inspiring, 9-1 14-1
install, 10-1
installation, 10-1
installed, 10-2
instance, 2-1 3-2 6-5 9-4 10-5 11-3 12-2
instances, 6-1 10-1 11-1
instant, 5-1 6-1 14-1 16-2
instantly, 2-1 3-3 4-1 8-1 15-1
instead, 2-1 3-1 4-1 6-1 9-4 10-1 11-1 13-2 14-1 15-1 16-5
instilled, 14-1 16-1
instinct, 13-1 15-1 16-2
instinctive, 15-1
institute, 9-2 10-3 11-1 12-6
institutes, 11-1
institution, 9-5 10-2 11-5 12-3
institutions, 9-3 10-2 11-3 12-4
instruct, 9-2 13-1 16-1
instructed, 11-1 16-2
instructer, 14-1 16-1
instruction, 9-1 12-1 15-1
instructional, 9-4
instructions, 9-1 11-2
instructs, 14-1
instrument, 8-1 13-1 14-1 16-1
instrumental, 14-2
instruments, 16-1
insufferably, 15-1
insufficient, 9-1
insular, 10-2
insult, 1-1 7-1
insulting, 13-1 14-1
insuperable, 14-1
insupportable, 16-1
insurrection, 13-1
int, 7-1
integral, 12-1
integrate, 10-1 12-1
integrated, 9-2 10-1 11-2 12-1
integrates, 10-1
integrating, 10-2
integration, 9-3 12-2
integrator, 10-1 12-1
integrity, 10-6 11-2 12-1 14-1 15-1
intellect, 14-1
intellectual, 9-3 10-4 11-5 12-2 13-1 14-1 15-2
intellectually, 11-1
intelligence, 5-1 10-1 11-1 15-1
intelligent, 10-1 11-5 12-1 15-1
intelligential, 14-1 15-1
intemperance, 16-1
intend, 12-1 13-2 14-1 16-1
intended, 9-1 11-1 13-1 15-4 16-1
intendment, 5-1
intends, 10-2 11-2 13-3 14-3 16-1
intense, 15-1
intensive, 12-1
intent, 13-2 14-3 15-4
interactive, 9-2 12-3
interactively, 9-1
intercede, 16-1
intercept, 14-2 15-1 16-1
intercession, 16-1
intercessour, 13-1 16-2
interchange, 9-4 10-2 11-5 12-1 15-1
interchangeability, 11-3 12-1
interchangeable, 11-2 12-1
interchanged, 11-1
interconnectedness, 9-2
interconnectivity, 11-1
intercourse, 13-1 15-2 16-1
interdicted, 14-1 15-1
interdiction, 15-1
interdisciplinary, 12-1
interest, 3-1 8-1 9-9 10-3 11-4 12-1
interested, 9-11 10-1 12-1 13-1
interesting, 1-1 2-1 3-1 4-2 9-3 10-6 11-3
interestingly, 9-1
interests, 9-3 12-1
interface, 9-1 10-4 11-7 12-4
interfaces, 9-1 10-2 11-1 12-2
interfering, 10-1
interfused, 15-1
interim, 7-1
interjected, 12-2
interlibrary, 10-1 12-1
intermediaries, 9-1
intermediary, 11-1
intermediate, 10-1
intermission, 6-1 13-1 14-1
intermit, 13-1
intermits, 15-1
intermitted, 13-1 15-1
intermix, 15-1 16-1
intermixed, 15-2
internal, 10-2 11-2 12-1 15-2
international, 9-4 10-6 11-10 12-5
internationally, 11-1
internet, 9-10 10-21 12-9
interoperability, 10-2 12-1
interoperable, 11-2
interpolation, 10-1
interpose, 13-1 16-1
interposed, 14-3 16-2
interposes, 13-1
interposest, 13-1
interpret, 9-4 11-1 16-1
interpretation, 9-8 11-1 12-1
interpretative, 9-2
interpreted, 9-1 11-1 14-1
interpreter, 13-1 15-1
interpreting, 9-1
interprets, 9-1
interrelated, 9-1
interrupt, 3-1 13-2 15-2 16-1
interrupted, 3-4 4-5 16-1
interrupting, 3-1 4-1
interval, 14-1
intervene, 15-1
interview, 14-1 16-1
interviewed, 9-1
intervolved, 14-1
interwove, 13-1
intestine, 13-1 14-1 16-1
into, 1-16 2-26 3-15 4-10 5-8 6-8 7-2 8-11 9-29 10-29 11-38 12-12 13-29 14-30 15-29 16-22
intolerable, 10-1
intot, 8-1
intoxicated, 15-1
intrenched, 13-1
intricacies, 15-1
intricate, 12-1 13-1 14-1 15-1
introduce, 2-1 3-1 9-1 10-1 13-1 14-1 16-1
introduced, 4-1 9-1 10-2 11-1 16-1
introducing, 9-2 12-1
introduction, 9-7 11-2 13-1
introductions, 9-2 12-1
intrusion, 9-1 16-1
intrusions, 11-1
intuitive, 14-1
inundation, 16-1
inure, 15-1
inured, 13-1 16-1
inutterable, 13-1
invade, 13-2 16-1
invaded, 14-1
invaders, 16-1
invalid, 15-1
invectively, 5-1
invent, 2-1 8-1 14-1
invented, 4-1 13-1 14-1 15-1
inventer, 14-1
inventers, 16-1
invention, 6-1 8-2 14-1
inventions, 14-1 15-1
invest, 6-1 10-1 13-1
invested, 15-1
investigate, 10-1 12-2
investigated, 10-1 12-1
investigating, 9-1
investigation, 12-1
investment, 9-2 10-1 11-2 12-1
investments, 12-2
invests, 13-1 16-1
invincible, 13-1 14-2
invincibly, 15-1
inviolable, 14-2
invisible, 5-1 7-1 13-5 14-4 15-3 16-1
invisibly, 14-1
invitation, 2-2
invite, 8-1 13-1 14-1 15-1
invited, 2-2 9-1 10-1 16-2
invites, 13-1
inviting, 10-1 15-2
invocation, 6-1
invoke, 13-1 16-1
invoked, 16-3
involve, 9-3 10-1 11-1 13-1
involved, 4-1 9-6 10-5 11-3 12-3 13-2 14-1 15-3
involvement, 9-2 10-1
involves, 9-8 10-3 11-1 12-1
involving, 9-1 10-3 11-4 12-1
invulnerable, 13-1 14-1
inward, 13-2 15-11 16-4
inwardly, 14-1
inwards, 1-1 16-1
inwove, 13-1
inwoven, 14-1
inwreathed, 13-1
ioca, 11-1
ionian, 13-1
ip, 10-3
ipse, 8-2
ire, 13-3 14-1 15-4 16-3
iris, 14-1 16-1
irish, 6-1 8-1
irks, 5-1
irksome, 7-1 13-1 14-1 15-1
iron, 13-4 14-5 16-1
ironic, 9-1
ironically, 9-1 11-1
irons, 2-1
irony, 9-1
irradiance, 15-1
irradiate, 13-1
irrational, 15-1 16-1
irreconcilable, 13-1
irregular, 14-1
irreparable, 13-1
irresistible, 9-1 14-1
irresolute, 15-1
irreverent, 16-1
irrevocable, 5-1 16-1
irriguous, 14-1
irritated, 2-1
is, 1-35 2-32 3-29 4-12 5-61 6-84 7-79 8-62 9-152 10-198 11-283 12-111 13-48 14-58 15-74 16-55
isaac, 16-1
isis, 13-1
island, 10-1 13-1 16-1
isle, 13-2 14-1 16-1
isles, 13-4 14-1 15-2
isnt, 2-2 3-1 4-4
iso, 10-1 11-1 12-2
isolate, 12-1
isolation, 9-1 10-1
israel, 13-3 16-1
issue, 9-8 10-17 11-25 12-7 13-1 14-1
issued, 9-1 13-1 14-1 15-1
issues, 9-10 10-17 11-8 12-17 14-1
issuing, 14-2 15-1 16-3
ist, 5-1 7-1 8-1
it, 1-162 2-177 3-104 4-87 5-45 6-68 7-53 8-60 9-99 10-111 11-163 12-60 13-28 14-41 15-48 16-29
italic, 11-2
italicized, 11-1
italics, 9-1 11-5 12-2
item, 9-4 10-1 11-1
items, 9-4 10-4 11-3 12-1
iterate, 15-1
iterations, 10-1
ithaca, 12-2
ithuriel, 14-3
itll, 1-7 2-1
its, 1-25 2-41 3-32 4-15 9-27 10-25 11-27 12-22 13-1 14-1
itself, 1-4 2-5 3-5 5-1 6-3 8-5 9-5 10-6 11-9 12-2 13-6 14-1 15-7 16-5
iv, 1-1 6-1 7-2 8-3 9-1 10-1 12-6 14-1
ive, 1-8 2-12 3-8 4-6
ivory, 14-1
ivy, 15-1
ix, 3-1 15-1
j, 9-2 12-9
jack, 2-1
jacob, 13-1 16-1
jacqueline, 9-2 12-2
jacques, 9-1
jaculation, 14-1
james, 9-5 12-5
jan, 11-1
jane, 6-1 12-2
jangling, 16-1
january, 10-1 12-1
janus, 16-1
japanese, 9-1 10-1
japhet, 14-1
jaques, 5-8 6-22 7-30 8-20
jar, 1-2 14-1
jarring, 13-1 14-1
jars, 6-1
jasis, 12-1
jasper, 13-2 16-1
javans, 13-1
javelin, 16-1
jaw, 2-1
jaws, 1-1 2-1 16-2
jealous, 6-1 7-1 14-1 16-1
jealousies, 14-1
jealousy, 14-1
jean, 9-2 11-1 12-3
jeff, 9-2 12-1
jefferson, 10-1 12-3
jeffrey, 12-1
jehovah, 13-2 15-1
jelly, 4-1
jersey, 12-1
jessamin, 14-1
jests, 5-1
jesus, 16-2
jewel, 5-1 6-1
jewels, 5-1
jim, 10-1
joanne, 9-3 12-4
job, 11-1
jocund, 13-1 15-2
jogged, 3-1
john, 10-1 12-4 13-2
johns, 9-1
join, 4-9 7-2 8-2 10-2 13-3 14-3 15-1 16-4
joind, 13-1
joined, 1-1 2-1 3-1 13-4 14-9 15-6 16-3
joining, 14-1 16-2
joins, 16-2
joint, 9-1 10-6 12-7 13-2 15-2 16-3
jointed, 15-1
jointly, 9-1 10-1 11-1
joints, 15-2
jointure, 7-1
jollity, 16-1
jolly, 6-1
jordan, 16-1
jordans, 13-1
joseph, 13-1
joshua, 16-1
josiah, 13-1
jot, 7-1
joule, 12-1
jour, 5-1
journal, 9-2 10-17 11-8 12-11
journals, 9-6 10-5 11-9 12-4
journey, 4-1 13-1 14-2 15-2 16-4
journeyed, 14-1
journeys, 13-1 15-1
joust, 15-1
jousted, 13-1
jove, 6-2 7-1 13-4 14-1 15-2 16-2
joves, 5-1 7-1 14-1
joy, 7-2 8-1 13-17 14-11 15-13 16-19
joyed, 15-1
joyful, 8-1
joyless, 14-1
joyous, 15-1
joys, 4-1 13-1 14-1 15-1 16-1
jpeg, 10-3
jr, 12-3
jrn, 12-1
jubilant, 15-1
jubilee, 13-1 15-1
juciest, 14-1
judah, 13-1
judass, 7-2
judge, 1-2 4-2 5-1 6-1 7-1 13-4 14-2 15-1 16-15
judged, 13-3 14-3 16-11
judgement, 15-2 16-8
judgements, 16-3
judges, 14-1 16-1
judgest, 13-1
judging, 2-1
judgment, 5-1 8-1 9-1 11-1 12-1
judgments, 6-1 11-3 12-1
judicious, 12-1 15-2
judith, 9-3 10-2 11-1 12-5
jug, 3-1
jukebox, 10-1 12-1
july, 9-1 10-2
jump, 9-1
jumped, 1-1 2-2 3-2 4-1
jumping, 2-1 3-1 4-2
jumps, 5-1
june, 9-4 12-3
junior, 9-2
juno, 14-1
junos, 5-1 8-1 15-1
jupiter, 6-1 14-1
jurisdiction, 13-1
juror, 4-1
jurors, 4-4
jury, 1-2 4-20
jurymen, 4-4
just, 1-11 2-18 3-11 4-12 5-1 7-3 8-1 9-3 10-12 11-19 12-4 13-8 14-11 15-14 16-23
justice, 4-1 6-1 7-1 11-2 13-5 14-1 16-10
justices, 8-1
justifiable, 11-1
justification, 16-1
justifications, 10-1
justify, 13-1 16-1
justling, 13-1 16-1
justly, 5-1 13-2 14-2 15-2 16-3
jzidar, 12-1
k, 9-3 10-3 12-3
kantor, 12-1
karen, 10-1 12-1
kast, 13-1
katz, 10-1
kays, 12-1
kb, 12-1
kbps, 12-1
kde, 12-1
keen, 6-1 7-1 11-1 14-2 15-1 16-2
keep, 2-5 3-2 4-4 5-5 7-2 8-4 10-1 11-3 12-1 13-5 14-5 15-4 16-2
keeping, 3-2 5-1 11-1 15-1 16-1
keeps, 5-2 7-1 11-2 12-1 15-2
ken, 13-2 16-2
kennel, 13-1
kenneth, 12-2
kenney, 9-2 10-14 12-4
kenneys, 9-1
kens, 14-1
kept, 1-4 2-4 3-2 4-3 6-1 8-1 9-2 13-1 14-2 15-5 16-2
kernels, 14-1
kettle, 2-1
key, 1-8 3-1 7-1 9-14 10-6 11-4 12-6 13-5
keyboard, 9-1 11-2 13-2
keyboards, 13-1
keyed, 11-1
keyers, 11-1
keying, 10-2 11-6
keys, 10-1 13-1
kick, 1-1 2-2
kicked, 14-1
kid, 1-5 14-1 15-1 16-1
kids, 13-1
kikes, 14-1
kill, 2-1 5-2 7-4 8-3 16-1
killd, 8-1
killed, 5-1 8-1
killer, 10-1
killing, 1-1 11-1
kills, 1-1 16-1
kilobaud, 10-1
kilobyte, 10-1
kilobytes, 10-1
kimball, 12-2
kind, 1-2 2-2 3-1 4-2 5-3 6-5 8-2 9-8 10-9 11-11 12-4 13-2 14-5 15-10 16-2
kindergarten, 9-1
kindle, 5-1
kindled, 7-1 13-1 15-1
kindles, 16-1
kindliest, 14-1
kindly, 4-2 5-1 6-1 8-1 14-2 15-1
kindness, 8-1
kindred, 6-1 16-1
kinds, 9-5 10-6 11-4 12-1 14-3 15-3 16-2
kine, 15-1 16-1
king, 3-13 4-48 8-1 12-2 13-18 14-17 15-6 16-7
kingdom, 13-2 14-1 15-2 16-1
kingdoms, 8-2 16-3
kingly, 13-2 16-1
kings, 3-3 13-3 14-3 16-8
kinsman, 6-1
kiss, 3-1 6-2 7-4 8-1
kissed, 4-1 14-1
kisses, 7-2 14-1
kissing, 6-1 7-1
kit, 10-1 11-1
kitchen, 2-2 3-2
kithetmroboscis, 14-1
knave, 3-4 4-5 5-1 7-2
knavery, 5-1
knee, 3-1 4-4 13-1 14-4
kneel, 1-1
kneeled, 16-1
knees, 7-1 13-1 14-1 16-1
knelt, 1-1
knew, 1-2 2-2 3-4 4-6 5-1 6-1 7-2 8-2 10-1 13-1 14-6 15-8 16-4
knewest, 16-1
knewst, 6-1
knife, 1-1 2-1 4-1
knight, 5-3 7-1
knights, 13-2 15-2
knit, 14-1
knock, 2-1
knocked, 2-1
knocking, 1-1 2-2
knolld, 6-2
knot, 1-1 2-1
knots, 14-1
know, 1-23 2-23 3-22 4-20 5-9 6-9 7-9 8-14 9-5 10-2 11-10 12-1 13-16 14-31 15-26 16-15
knowest, 14-6 15-7 16-3
knowing, 1-1 2-1 7-1 9-1 14-1 15-5 16-3
knowledge, 1-2 2-1 5-3 6-1 7-1 8-1 9-2 10-5 11-3 12-2 13-2 14-11 15-20 16-4
known, 1-1 5-2 9-4 10-4 11-2 13-9 14-7 15-9 16-6
knows, 1-1 2-1 5-1 7-2 8-2 9-2 10-1 11-1 13-3 14-2 15-5 16-3
knowst, 5-1 7-1 13-3
knuckles, 2-1
ksar, 16-1
kurzweil, 11-2
l, 9-9 11-8 12-16
la, 11-3 12-1
lab, 9-2 12-2
label, 1-2
labeled, 11-1
labelled, 1-1
labor, 10-2 11-1 12-3
laboratory, 9-1 10-1 12-2
laborious, 9-1 13-1 16-1
labour, 6-2 8-1 13-4 14-5 15-7 16-6
laboured, 5-1 14-1
labourer, 6-1
labourers, 16-1
labouring, 13-1 16-3
labours, 15-2
labyrinth, 13-1 15-1
lacie, 3-1
lack, 6-4 7-2 8-2 9-4 10-2 11-1
lacked, 9-1 11-1
lackey, 7-1
lacking, 7-2 9-1 10-2 11-1 12-1
lacks, 5-2 7-1
lad, 1-1
ladder, 1-1
laden, 16-1
ladies, 5-6 6-2
lady, 3-3 5-1 6-1 8-3
ladys, 7-1
ladyships, 5-1
laertes, 15-1
lag, 10-1 11-1 16-1
lags, 9-1
lahor, 16-1
laid, 2-1 3-1 5-2 6-1 7-1 8-1 10-1 13-2 14-7 15-1 16-4
lair, 15-1
lake, 13-8 14-3 16-2
lakes, 13-1 15-2
lakeside, 12-1
lamb, 6-1 15-1 16-1
lambs, 6-1 13-1 16-1
lame, 5-1 6-2
lamed, 5-1
lamely, 6-1
lament, 5-1 13-1 15-1 16-3
lamentable, 13-1
lamentation, 13-1
lamented, 16-1
lamenting, 14-1 16-1
lamp, 13-2 14-1 15-2
lamps, 1-1 13-1 14-1 15-1 16-1
lan, 10-1 12-1
lancasters, 12-1
lance, 13-1
land, 4-1 8-2 10-2 12-1 13-13 14-4 15-8 16-16
landed, 16-1
lands, 5-1 6-2 7-1 8-2 13-2 14-1 15-1 16-1
landscape, 10-1 13-1
landskip, 14-2
language, 9-5 11-10 12-3 15-2 16-1
languages, 10-1 12-1
languid, 2-1
languish, 5-1 16-1
languished, 14-1
languishing, 16-1
lap, 1-1 4-1 14-1 15-2 16-2
lapland, 13-1
lapse, 15-1 16-1
lapsed, 13-1 16-1
larboard, 13-1
large, 1-9 2-14 3-5 4-5 6-1 8-1 9-10 10-15 11-13 12-7 13-8 14-10 15-4 16-5
largely, 10-2 12-1 15-2 16-1
larger, 1-4 2-2 4-1 9-1 10-4 11-1 12-2 16-1
largest, 1-1 10-1 12-3
lark, 4-1
larsen, 9-3 10-14 12-3
larsens, 10-1
lascivious, 15-1
laser, 11-1
lass, 8-1
last, 1-7 2-10 3-10 4-6 6-2 7-1 8-2 9-2 10-5 11-6 12-2 13-15 14-10 15-10 16-27
lasted, 2-1 4-1
lasting, 13-2 16-1
lastly, 4-1 13-1 16-2
late, 1-4 3-1 4-1 5-1 6-1 9-3 10-1 13-4 14-4 15-7 16-13
lately, 1-1 6-1 13-2 16-2
later, 1-1 4-2 9-2 10-2 11-2 12-2 13-1 16-1
lateral, 16-1
laterally, 9-1
latest, 12-1 14-2
latex, 11-1
latin, 1-1 7-1 9-10 11-4
latina, 9-3 12-2
latinae, 9-1
latitude, 1-2 11-1
latter, 9-3 10-3 12-1 13-1 14-2 15-1 16-1
laugh, 1-1 6-3 7-1 8-1 13-1 16-2
laughed, 2-1 4-1 7-1
laughest, 14-1
laughing, 3-2 7-1
laughs, 13-1
laughter, 3-1 14-1 15-1 16-2
launched, 10-1
launching, 10-1
laundry, 10-1
laurel, 14-1
lavinia, 15-1
law, 1-1 2-1 9-2 10-2 11-9 12-5 13-1 14-7 15-3 16-17
lawful, 7-1 14-1 15-1
lawless, 16-1
lawn, 5-1
lawns, 14-1
laws, 11-3 13-2 14-7 16-9
lawyers, 7-2
lax, 15-1
lay, 2-2 3-1 4-1 5-2 7-1 8-2 9-1 13-8 14-3 15-3 16-7
layered, 10-4 11-1
layering, 10-6
layers, 10-2
layout, 11-1
lays, 8-1 14-1 15-1
lazar, 16-1
lazily, 1-1
lazy, 3-1 7-1
lc, 9-10 10-2 11-23 12-21
lcs, 9-2 10-2 11-4 12-10
le, 5-22
lead, 8-1 9-2 10-1 11-7 12-1 13-1 14-6 15-3 16-8
leader, 9-1 12-2 13-2 14-5
leaders, 1-1 13-1 14-1
leadership, 12-2
leadest, 16-1
leading, 3-1 9-1 13-1 15-1 16-1
leads, 9-1 11-1 13-4 15-2 16-2
leaf, 14-2 15-1 16-1
league, 13-3 14-3 16-2
leagued, 16-1
leagues, 13-1
lean, 6-1 7-3
leander, 7-1
leaned, 14-1
leaning, 2-1 4-1 10-1 14-1
leant, 2-1
leap, 1-1 12-1
leaped, 13-2 14-2
leaps, 14-1
learn, 1-3 2-1 3-3 5-1 6-1 8-1 9-4 11-4 12-2 13-3 14-4 15-3 16-2
learnd, 5-1 8-1
